_id,name,price,description,discount,vendors,scrapedAt,__v,originalPrice,reviews,rating,availability,badge,image
674b0b8c888a78dce3230cf1,,,,,[],2024-11-30 12:56:44.521,0,,,,,,
674b0b8c888a78dce3230cf5,"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)",$249.99$319.00,"FREE delivery Fri, Dec 6 Or fastest delivery Mon, Dec 2 More Buying Choices$228.64(11+ used & new offers)",,[],2024-11-30 12:56:44.535,0,,,,,,
674b0b8c888a78dce3230cf8,"15.6"" FHD IPS Business Laptop, 32GB RAM 1TB SSD, AMD Ryzen 5(Beat i3-1215U, 4 Cores Up to 3.7GHz), 65W Type-C, 2 Years Warranty, Fingerprint, Backlit Keyboard, Wi-Fi 5, BT5.2, Numpad",$379.00$779.99,"Exclusive Prime priceFREE delivery Dec 10 - 16 Or fastest delivery Thu, Dec 5",,[],2024-11-30 12:56:44.538,0,,,,,,
674b0b8c888a78dce3230cfb,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$279.99$321.99,"FREE delivery Fri, Dec 6 Or fastest delivery Mon, Dec 2 More Buying Choices$237.59(16+ used & new offers)",,[],2024-11-30 12:56:44.541,0,,,,,,
674b0b8c888a78dce3230cfe,"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, Touch ID; Space Gray Apple 2024 MacBook Air 15-inch Laptop with M3 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, Touch ID; Midnight Apple 2024 MacBook Air 13-inch Laptop with M3 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, Touch ID; Midnight Acer Predator Helios Neo 16 Gaming Laptop | Intel Core i7-13650HX | NVIDIA GeForce RTX 4060 | 16"" WUXGA 1920 x 1200 165Hz G-SYNC Display | 16GB DDR5 | 512GB Gen 4 SSD | Killer Wi-Fi 6E | PHN16-71-76H5 Apple 2022 MacBook Air Laptop with M2 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera; Space Gray","$899.00$1,099.00$1,234.00$1,499.00$1,049.00$1,299.00$999.99$1,149.99$749.00$999.00",,,[],2024-11-30 12:56:44.543,0,,,,,,
674b0b8c888a78dce3230d01,"Dell Inspiron 16 Plus 7640 Laptop - 16.0-inch 16:10 2.5K Display, Intel Core i7-13620H Processor, 16GB LPDDR5 RAM, 1TB SSD, Intel UHD Graphics, Windows 11 Home, Onsite & Migrate Service - Ice Blue",$699.99$949.99,"FREE delivery Fri, Dec 6 Or fastest delivery Mon, Dec 2",,[],2024-11-30 12:56:44.548,0,,,,,,
674b0b8c888a78dce3230d05,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",$262.65$399.00,"FREE delivery Tue, Dec 3",,[],2024-11-30 12:56:44.552,0,,,,,,
674b0b8c888a78dce3230d08,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",$192.00$269.00,"FREE delivery Dec 4 - 6 Or fastest delivery Wed, Dec 4 Only 6 left in stock - order soon.",,[],2024-11-30 12:56:44.555,0,,,,,,
674b0b8c888a78dce3230d0b,"Lenovo V15 G2 Laptop, 15.6"" FHD Screen, Intel Dual-core Processor, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",$338.00$469.00,"FREE delivery Dec 4 - 6 Or fastest delivery Mon, Dec 2 Only 7 left in stock - order soon.More Buying Choices$331.55(5 used & new offers)",,[],2024-11-30 12:56:44.557,0,,,,,,
674b0b8c888a78dce3230d0e,"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9",$599.99$779.99,FREE delivery,,[],2024-11-30 12:56:44.562,0,,,,,,
674b0b8c888a78dce3230d11,"ASUS 2024 Vivobook Go 11.6” HD Laptop, Intel Dual Core N4500, Intel Graphics, 4GB, 128GB, Windows 11 Home in S Mode, Star Black, L210KA-ES04",$204.99$229.99,"FREE delivery Dec 4 - 6 Or fastest delivery Tue, Dec 3 Only 14 left in stock - order soon.More Buying Choices$119.59(8+ used & new offers)",,[],2024-11-30 12:56:44.567,0,,,,,,
674b0b8c888a78dce3230d14,"Apple 2022 MacBook Air Laptop with M2 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera; Midnight",$749.00$999.00,"FREE delivery Fri, Dec 6 Or fastest delivery Mon, Dec 2",,[],2024-11-30 12:56:44.569,0,,,,,,
674b0b8c888a78dce3230d17,"18.5 Inch Laptops, Windows 11 Laptop with 20GB RAM 128GB EMMC+1024GB SSD, Celeron N5095 Quad-Core, Office 365 1-Year Subscription, 180° Hinge, WiFi 6, BT5.2, USB, Type-C, HDMI, 8000mAh(Gray)","$399.99$1,399.99",Exclusive Prime priceFREE deliveryOnly 1 left in stock - order soon.,,[],2024-11-30 12:56:44.572,0,,,,,,
674b0b8c888a78dce3230d1a,"HP Newest 255 G10 Laptop for Home or Work, 16GB RAM, 1TB SSD, 15.6"" Full HD, Ryzen 3 7330U (Beat Intel i5-1135G7), Ethernet Port, HDMI, USB-C, Windows 11 Pro, Business and Fun Ready (2024)",$399.99$599.99,"Exclusive Prime priceFREE delivery Dec 6 - 12 Or fastest delivery Wed, Dec 4",,[],2024-11-30 12:56:44.575,0,,,,,,
